Age,Gender,Service_Quality,Product_Quality,Support_Quality,Waiting_Time,Value_for_Money,Ease_of_Use,Purchase_Frequency,Recommendation,Complaint_Resolution,Customer_Satisfaction
56,Female,5,2,3,1,4,3,1,1,3,Satisfied
39,Male,4,4,4,3,2,3,1,2,5,Satisfied
43,Male,1,1,5,5,5,2,9,1,2,Not Satisfied
61,Female,4,4,2,2,5,3,4,5,5,Satisfied
42,Female,5,3,1,4,4,1,5,3,1,Not Satisfied
34,Male,3,5,1,5,2,3,3,5,4,Not Satisfied
30,Male,5,4,5,4,5,3,4,4,2,Satisfied
37,Male,2,5,4,2,2,2,8,5,3,Satisfied
42,Male,4,4,4,3,2,1,4,5,1,Satisfied
21,Female,4,3,5,3,4,4,9,4,1,Satisfied
27,Male,2,1,4,2,4,4,9,2,5,Satisfied
20,Male,2,3,1,4,1,5,6,5,1,Not Satisfied
58,Male,3,1,1,5,5,3,2,1,2,Not Satisfied
62,Male,4,1,2,2,5,3,10,5,5,Satisfied
35,Female,4,5,5,1,5,1,7,1,1,Satisfied
64,Female,3,3,3,4,3,4,9,4,3,Not Satisfied
53,Female,1,4,3,3,2,5,6,5,2,Not Satisfied
64,Male,3,3,2,2,4,1,3,4,3,Not Satisfied
39,Male,5,5,2,3,5,3,7,4,3,Satisfied
51,Female,4,1,4,4,1,4,5,2,5,Not Satisfied
64,Male,2,5,2,3,5,5,1,5,4,Satisfied
25,Male,5,2,2,2,2,2,3,1,5,Satisfied
57,Female,4,2,3,4,2,4,5,1,2,Not Satisfied
61,Female,3,4,4,1,4,5,7,5,2,Satisfied
36,Female,5,5,2,2,3,1,3,2,5,Satisfied
59,Female,4,4,2,5,4,2,6,2,4,Not Satisfied
58,Male,1,4,4,2,5,5,5,2,5,Not Satisfied
54,Male,1,2,5,4,1,5,1,1,2,Not Satisfied
23,Female,2,4,4,2,4,3,10,4,4,Satisfied
43,Male,4,2,3,1,3,4,6,2,2,Not Satisfied
51,Female,1,1,5,1,4,3,8,1,4,Not Satisfied
62,Female,3,5,1,5,2,2,1,1,4,Satisfied
23,Male,4,4,4,3,5,5,2,4,5,Satisfied
54,Female,3,2,3,4,5,3,4,5,5,Satisfied
50,Male,3,3,5,4,5,4,2,5,5,Satisfied
39,Male,1,4,4,3,5,2,9,2,4,Not Satisfied
38,Male,4,1,2,1,5,1,10,2,4,Satisfied
23,Male,5,1,4,1,5,3,8,4,2,Satisfied
23,Female,1,3,1,2,1,2,8,2,3,Not Satisfied
65,Male,1,2,4,5,3,1,4,4,5,Not Satisfied
21,Female,4,4,5,5,5,3,5,1,2,Satisfied
47,Female,4,2,5,5,3,2,4,2,2,Satisfied
28,Female,3,1,4,2,5,2,9,1,1,Not Satisfied
47,Female,4,2,5,5,4,3,2,3,5,Satisfied
48,Male,3,1,2,3,5,2,8,4,2,Not Satisfied
41,Male,1,2,4,2,2,5,2,3,1,Not Satisfied
26,Female,2,3,2,3,1,3,1,2,5,Not Satisfied
20,Female,5,5,2,2,4,2,10,1,4,Satisfied
48,Male,1,3,3,5,4,1,3,2,1,Not Satisfied
57,Female,4,3,4,3,2,1,9,3,4,Not Satisfied
54,Male,5,5,5,3,5,5,3,2,3,Satisfied
53,Female,2,5,2,3,1,3,9,5,3,Satisfied
41,Male,2,4,3,2,4,2,7,3,3,Satisfied
48,Female,3,4,4,4,1,2,10,2,3,Not Satisfied
23,Female,5,3,4,5,4,1,1,1,2,Not Satisfied
19,Male,3,3,1,3,5,5,10,2,3,Not Satisfied
37,Female,1,1,1,4,4,1,5,1,2,Not Satisfied
45,Female,5,1,2,5,4,1,9,5,2,Not Satisfied
28,Male,1,4,1,5,3,5,3,2,5,Not Satisfied
21,Female,3,4,2,3,5,3,9,5,2,Satisfied
32,Male,5,1,5,3,2,2,5,3,2,Not Satisfied
23,Male,3,1,2,2,2,3,9,1,3,Not Satisfied
47,Female,5,2,1,4,5,4,10,3,2,Satisfied
55,Female,3,2,5,4,2,4,6,1,4,Satisfied
19,Female,2,1,1,3,5,4,9,5,3,Satisfied
32,Female,3,2,2,5,2,5,7,4,1,Not Satisfied
28,Female,2,5,3,3,3,1,7,2,3,Satisfied
25,Female,3,4,4,5,2,3,8,5,2,Satisfied
43,Female,5,4,1,5,4,2,7,1,4,Not Satisfied
62,Male,5,1,2,3,5,4,9,1,3,Satisfied
61,Female,5,3,5,1,1,3,9,1,4,Satisfied
22,Male,4,1,1,4,1,4,6,1,1,Not Satisfied
23,Female,1,2,1,5,5,4,7,2,1,Not Satisfied
43,Female,5,3,4,5,3,2,2,3,5,Not Satisfied
21,Male,2,2,2,1,2,5,9,4,5,Not Satisfied
36,Female,5,5,3,2,3,1,1,2,3,Satisfied
37,Female,4,2,5,1,1,5,1,1,5,Satisfied
